            Time             Fpx             Fpy             Fpz             Fvx             Fvy             Fvz             Mtx             Mty             Mtz           Y+min           Y+max
          11.241           16976         359.035     6.92617e-17          316.15         13.3371      -0.0280836        -5425.23          207567        -39.9004       0.0296778         1.78101
          11.244           16969         60.0396     6.93889e-17         316.186         13.2781      -0.0279214        -1841.47          207478        -40.6216       0.0201177          1.7806
          11.247         16963.5        -240.274     6.94027e-17         316.221         13.2131      -0.0277669         1758.29          207408        -41.3387       0.0129846         1.78018
           11.25         16959.4        -541.767     6.93627e-17         316.257          13.142      -0.0276192         5372.91          207356        -42.0512       0.0170657         1.77974
          11.253         16956.9        -844.182     6.92077e-17         316.291          13.065      -0.0274796         8999.31          207321        -42.7582       0.0105832         1.77928
          11.256           16956        -1147.37     6.90169e-17         316.326         12.9819      -0.0273467         12635.2          207306        -43.4598       0.0151142         1.77881
          11.259         16956.6        -1451.32     6.87932e-17          316.36         12.8928      -0.0272226         16280.5          207309        -44.1559       0.0148983         1.77833
          11.262         16958.8        -1755.88     6.86256e-17         316.394         12.7978      -0.0271066           19934          207331        -44.8462       0.0138744         1.77782
          11.265         16962.6        -2060.65     6.85644e-17         316.428         12.6968      -0.0269987         23590.9          207373        -45.5294       0.0207166         1.77731
          11.268         16968.2        -2365.57     6.85229e-17         316.461         12.5899       -0.026899         27249.9          207435        -46.2054        0.014394         1.77678
          11.271         16975.4        -2670.64     6.85422e-17         316.495          12.477      -0.0268085         30910.7          207517        -46.8746      0.00578272         1.77627
          11.274         16984.4        -2975.91     6.87268e-17         316.528         12.3582      -0.0267262           34574          207619        -47.5374       0.0215672         1.77575
          11.277         16995.1        -3281.17     6.89508e-17         316.561         12.2336      -0.0266525           38238          207744        -48.1929       0.0109626         1.77521
           11.28         17007.6        -3585.91     6.91104e-17         316.593         12.1031      -0.0265872         41897.3          207888        -48.8398        0.029673         1.77466
          11.283         17021.8        -3889.87     6.93332e-17         316.626         11.9667      -0.0265304         45547.4          208054        -49.4771       0.0408819          1.7741
          11.286         17037.7        -4192.99     6.95795e-17         316.658         11.8245      -0.0264808         49188.2          208241         -50.105       0.0190664         1.77353
          11.289         17055.3        -4495.11     6.98096e-17         316.691         11.6766      -0.0264401         52817.4          208447        -50.7233      0.00774567         1.77295
          11.292         17074.7        -4796.23     7.00466e-17         316.723         11.5229      -0.0264083         56434.7          208674        -51.3324       0.0566281         1.77235
          11.295         17095.8        -5096.02     7.01786e-17         316.755         11.3635      -0.0263851         60037.5          208923        -51.9312       0.0708768         1.77174
          11.298         17118.6        -5394.07     7.02638e-17         316.787         11.1984      -0.0263705         63620.4          209191        -52.5188       0.0580712         1.77112
          11.301         17142.9        -5690.28     7.02915e-17         316.819         11.0276      -0.0263642         67181.3          209479        -53.0953       0.0149146         1.77049
          11.304         17168.9        -5984.57     7.02394e-17         316.851         10.8513      -0.0263658         70719.9          209787        -53.6607       0.0194114         1.76985
          11.307         17196.5        -6276.64     7.00817e-17         316.884         10.6693      -0.0263755         74232.3          210113        -54.2143       0.0542092          1.7692
           11.31         17225.5        -6566.41     6.97762e-17         316.916         10.4819      -0.0263923         77717.7          210457        -54.7564       0.0825691         1.76853
          11.313           17256        -6853.49     6.93531e-17         316.948         10.2889      -0.0264165         81172.1          210819        -55.2859        0.053325         1.76786
          11.316         17287.9        -7137.59     6.88387e-17         316.981         10.0905      -0.0264485         84591.8          211197        -55.8021       0.0225833         1.76717
          11.319         17321.1        -7418.51     6.84428e-17         317.014         9.88665      -0.0264879         87973.8          211592        -56.3049       0.0105723         1.76648
          11.322         17355.7        -7695.97     6.77281e-17         317.047         9.67749      -0.0265344         91315.1          212003        -56.7936       0.0674159         1.76577
          11.325         17391.4         -7969.9     6.70167e-17          317.08         9.46303      -0.0265889         94614.1          212428        -57.2687       0.0728948         1.76505
          11.328         17428.3        -8240.28     6.61443e-17         317.114         9.24333       -0.026651         97870.5          212868        -57.7305       0.0143812         1.76433
          11.331         17466.3        -8506.99     6.51839e-17         317.147         9.01844      -0.0267185          101084          213320        -58.1789       0.0277396          1.7636
          11.334           17505        -8769.59     6.41311e-17         317.182         8.78842      -0.0267914          104249          213782        -58.6128       0.0560386         1.76285
          11.337         17544.5        -9027.84     6.30431e-17         317.217         8.55336      -0.0268704          107363          214255        -59.0316       0.0637226          1.7621
           11.34         17584.9        -9281.46      6.1955e-17         317.252         8.31331       -0.026955          110421          214736        -59.4348       0.0309613         1.76134
          11.343         17626.2        -9530.41     6.05595e-17         317.287         8.06837      -0.0270466          113424          215229        -59.8226       0.0284792         1.76058
          11.346         17668.2         -9774.6     5.95475e-17         317.323          7.8186      -0.0271431          116370          215731        -60.1951       0.0533212          1.7598
          11.349         17710.7        -10013.8     5.85803e-17          317.36         7.56408      -0.0272452          119257          216239        -60.5515       0.0522974         1.75904
          11.352         17753.8        -10247.7     5.77804e-17         317.397         7.30492      -0.0273533          122082          216754        -60.8919       0.0186529         1.75826
          11.355         17797.4        -10476.5     5.71549e-17         317.435          7.0412       -0.027465          124844          217276        -61.2165       0.0294199         1.75748
          11.358         17841.3        -10699.8     5.66467e-17         317.473         6.77303      -0.0275796          127542          217802        -61.5249       0.0413619         1.75669
          11.361         17885.4        -10917.4     5.60236e-17         317.511         6.50049      -0.0276977          130172          218330        -61.8167       0.0369419         1.75764
          11.364         17929.7        -11129.3     5.53038e-17         317.551         6.22368      -0.0278182          132734          218862        -62.0916       0.0236943         1.75881
          11.367         17974.2        -11335.1     5.45011e-17         317.591         5.94269       -0.027941          135223          219394        -62.3491       0.0152415         1.75998
           11.37         18018.6        -11534.8     5.36016e-17         317.631         5.65765       -0.028066          137640          219927        -62.5895       0.0177364         1.76115
          11.373         18063.1        -11728.2     5.24294e-17         317.673         5.36866      -0.0281937          139982          220460        -62.8119      0.00184974         1.76232
          11.376         18107.5        -11915.3     5.10824e-17         317.715         5.07585      -0.0283239          142248          220993        -63.0171      0.00909925         1.76349
          11.379         18151.7          -12096     4.97524e-17         317.758         4.77935      -0.0284538          144437          221524        -63.2049       0.0209443         1.76465
          11.382         18195.5        -12270.3      4.8455e-17         317.801         4.47927      -0.0285826          146550          222051        -63.3757       0.0171169         1.76581
          11.385         18238.9          -12438     4.70828e-17         317.845         4.17572      -0.0287113          148585          222572        -63.5289      0.00206421         1.76697
          11.388         18281.8        -12598.9     4.57228e-17         317.891         3.86884      -0.0288405          150538          223089         -63.664       0.0105978         1.76812
