y	y+	Umean	dUmean/dy	Wmean	Pmean	
8.58303931E-02	4.45107591E+02	2.01711667E+01	3.03302664E+01	-1.11987949E-03	-1.24057264E+00	
8.66454577E-02	4.49334432E+02	2.01957721E+01	3.00469362E+01	-1.07939556E-03	-1.23997579E+00	
8.74641502E-02	4.53580087E+02	2.02202566E+01	2.97676241E+01	-1.03934991E-03	-1.23937409E+00	
8.82864675E-02	4.57844540E+02	2.02446215E+01	2.94925563E+01	-9.99493996E-04	-1.23876613E+00	
8.91124063E-02	4.62127774E+02	2.02688684E+01	2.92218499E+01	-9.59744423E-04	-1.23815142E+00	
8.99419633E-02	4.66429771E+02	2.02929987E+01	2.89554654E+01	-9.20054563E-04	-1.23753009E+00	
9.07751353E-02	4.70750515E+02	2.03170139E+01	2.86930604E+01	-8.80421520E-04	-1.23690328E+00	
9.16119188E-02	4.75089988E+02	2.03409152E+01	2.84341984E+01	-8.40817109E-04	-1.23627294E+00	
9.24523105E-02	4.79448173E+02	2.03647034E+01	2.81786197E+01	-8.01064605E-04	-1.23564038E+00	
9.32963073E-02	4.83825054E+02	2.03883792E+01	2.79262357E+01	-7.60931800E-04	-1.23500533E+00	
9.41439056E-02	4.88220611E+02	2.04119436E+01	2.76770606E+01	-7.20424557E-04	-1.23436616E+00	
9.49951021E-02	4.92634829E+02	2.04353972E+01	2.74311683E+01	-6.79877671E-04	-1.23372088E+00	
9.58498934E-02	4.97067689E+02	2.04587411E+01	2.71884576E+01	-6.39591327E-04	-1.23306810E+00	
9.67082762E-02	5.01519174E+02	2.04819761E+01	2.69488692E+01	-5.99600835E-04	-1.23240718E+00	
9.75702470E-02	5.05989266E+02	2.05051031E+01	2.67125112E+01	-5.59757943E-04	-1.23173802E+00	
9.84358025E-02	5.10477947E+02	2.05281230E+01	2.64792900E+01	-5.19970739E-04	-1.23106078E+00	
9.93049391E-02	5.14985200E+02	2.05510368E+01	2.62490050E+01	-4.80265645E-04	-1.23037576E+00	
1.00177653E-01	5.19511007E+02	2.05738451E+01	2.60215741E+01	-4.40748332E-04	-1.22968379E+00	
1.01053942E-01	5.24055349E+02	2.05965489E+01	2.57970172E+01	-4.01516013E-04	-1.22898606E+00	
1.01933801E-01	5.28618209E+02	2.06191488E+01	2.55752378E+01	-3.62563201E-04	-1.22828337E+00	
1.02817228E-01	5.33199569E+02	2.06416456E+01	2.53562620E+01	-3.23792159E-04	-1.22757521E+00	
1.03704218E-01	5.37799410E+02	2.06640403E+01	2.51403173E+01	-2.85181603E-04	-1.22686039E+00	
1.04594769E-01	5.42417713E+02	2.06863340E+01	2.49275057E+01	-2.46672112E-04	-1.22613764E+00	
1.05488876E-01	5.47054462E+02	2.07085278E+01	2.47177849E+01	-2.07985637E-04	-1.22540636E+00	
1.06386537E-01	5.51709637E+02	2.07306229E+01	2.45109302E+01	-1.68761245E-04	-1.22466684E+00	
1.07287747E-01	5.56383220E+02	2.07526201E+01	2.43067591E+01	-1.28698119E-04	-1.22391954E+00	
1.08192503E-01	5.61075191E+02	2.07745204E+01	2.41052264E+01	-8.77156040E-05	-1.22316508E+00	
1.09100801E-01	5.65785534E+02	2.07963245E+01	2.39061022E+01	-4.59347873E-05	-1.22240399E+00	
1.10012639E-01	5.70514228E+02	2.08180330E+01	2.37092019E+01	-3.67864908E-06	-1.22163678E+00	
1.10928011E-01	5.75261256E+02	2.08396464E+01	2.35146083E+01	3.86559399E-05	-1.22086405E+00	
1.11846915E-01	5.80026597E+02	2.08611655E+01	2.33222133E+01	8.08295291E-05	-1.22008585E+00	
1.12769347E-01	5.84810234E+02	2.08825906E+01	2.31318337E+01	1.22553420E-04	-1.21930169E+00	
1.13695303E-01	5.89612148E+02	2.09039223E+01	2.29435866E+01	1.63418970E-04	-1.21851096E+00	
1.14624780E-01	5.94432318E+02	2.09251612E+01	2.27577913E+01	2.03178513E-04	-1.21771369E+00	
1.15557773E-01	5.99270727E+02	2.09463084E+01	2.25747355E+01	2.41751361E-04	-1.21691055E+00	
1.16494280E-01	6.04127354E+02	2.09673651E+01	2.23943448E+01	2.78981253E-04	-1.21610239E+00	
1.17434296E-01	6.09002181E+02	2.09883323E+01	2.22163441E+01	3.14625622E-04	-1.21529002E+00	
1.18377818E-01	6.13895189E+02	2.10092107E+01	2.20405116E+01	3.48680177E-04	-1.21447429E+00	
1.19324842E-01	6.18806357E+02	2.10300011E+01	2.18668462E+01	3.81397282E-04	-1.21365584E+00	
1.20275364E-01	6.23735666E+02	2.10507043E+01	2.16954190E+01	4.13016945E-04	-1.21283524E+00	
1.21229380E-01	6.28683097E+02	2.10713212E+01	2.15262067E+01	4.43625752E-04	-1.21201294E+00	
1.22186887E-01	6.33648630E+02	2.10918524E+01	2.13589406E+01	4.73068199E-04	-1.21118827E+00	
1.23147881E-01	6.38632246E+02	2.11122984E+01	2.11931838E+01	5.01161464E-04	-1.21035990E+00	
1.24112358E-01	6.43633924E+02	2.11326594E+01	2.10290828E+01	5.27974139E-04	-1.20952709E+00	
1.25080314E-01	6.48653644E+02	2.11529360E+01	2.08669013E+01	5.53581935E-04	-1.20869051E+00	
1.26051746E-01	6.53691388E+02	2.11731287E+01	2.07067835E+01	5.78040134E-04	-1.20785217E+00	
1.27026648E-01	6.58747134E+02	2.11932386E+01	2.05489066E+01	6.01316377E-04	-1.20701415E+00	
1.28005019E-01	6.63820862E+02	2.12132667E+01	2.03933094E+01	6.23332580E-04	-1.20617678E+00	
1.28986853E-01	6.68912553E+02	2.12332140E+01	2.02398334E+01	6.44217739E-04	-1.20533815E+00	
1.29972147E-01	6.74022187E+02	2.12530813E+01	2.00881851E+01	6.63964485E-04	-1.20449589E+00	
1.30960897E-01	6.79149742E+02	2.12728693E+01	1.99385327E+01	6.82336680E-04	-1.20364812E+00	
1.31953099E-01	6.84295199E+02	2.12925790E+01	1.97909940E+01	6.99231698E-04	-1.20279355E+00	
1.32948749E-01	6.89458537E+02	2.13122112E+01	1.96453479E+01	7.14706809E-04	-1.20193209E+00	
